ae:emirates_internet:internode	AE	Emirates Internet	Internode	97	768	444	2029
ae:emirates_internet:joyent	AE	Emirates Internet	Joyent	95	1381	545	2315
ae:emirates_internet:level3	AE	Emirates Internet	Level3	95	973	453	2473
ae:emirates_internet:limelight	AE	Emirates Internet	Limelight	2	1016	681	371
ae:emirates_internet:msn	AE	Emirates Internet	MSN	97	851	553	
ae:emirates_internet:maxcdn	AE	Emirates Internet	MaxCDN	96	1206	477	994
ae:emirates_internet:microsoft_azure	AE	Emirates Internet	Microsoft Azure	94	1524	533	2615
ae:emirates_internet:ngenix	AE	Emirates Internet	Ngenix	95	1263	473	2192
ae:emirates_internet:nirvanix	AE	Emirates Internet	Nirvanix	0	2308	365	2265
ae:emirates_internet:qzone	AE	Emirates Internet	Qzone	5	1315	1535	
ae:emirates_internet:rackspace_cloudfiles	AE	Emirates Internet	Rackspace CloudFiles	91	693	337	1967
ae:emirates_internet:rackspace_cloudserver	AE	Emirates Internet	Rackspace CloudServer	55	2878	2011	2635
ae:emirates_internet:simplecdn	AE	Emirates Internet	SimpleCDN	95	1145	583	2536
ae:emirates_internet:twitter	AE	Emirates Internet	Twitter	85	1178	964	
ae:emirates_internet:yacast	AE	Emirates Internet	Yacast	20	1239	492	186
ae:emirates_internet:yahoo	AE	Emirates Internet	Yahoo	97	1062	680	
ae:emirates_internet:youtube	AE	Emirates Internet	YouTube	79	932	621	
ae:ip_only:aol	AE	Ip Only	AOL	100	992		
ae:ip_only:akamai	AE	Ip Only	Akamai	100		25	
ae:ip_only:amazon_ec2_eu	AE	Ip Only	Amazon EC2 (EU)	100		81	
ae:ip_only:amazon_ec2_us	AE	Ip Only	Amazon EC2 (US)	100		118	
ae:ip_only:amazon_s3_eu	AE	Ip Only	Amazon S3 (EU)	100		85	
ae:ip_only:amazon_s3_us	AE	Ip Only	Amazon S3 (US)	100		118	
ae:ip_only:bing	AE	Ip Only	Bing	100	337		
ae:ip_only:bitgravity	AE	Ip Only	BitGravity	100		57	
ae:ip_only:cdnetworks	AE	Ip Only	CDNetworks	100		27	
ae:ip_only:cachefly	AE	Ip Only	CacheFly	100		20	
ae:ip_only:chinacache	AE	Ip Only	ChinaCache	100		40	
ae:ip_only:cloudfront	AE	Ip Only	Cloudfront	100		45	
ae:ip_only:cotendo	AE	Ip Only	Cotendo	100		55	
ae:ip_only:edgecast	AE	Ip Only	Edgecast	100		64	
ae:ip_only:gogrid	AE	Ip Only	GoGrid	100		222	
ae:ip_only:google_app_engine	AE	Ip Only	Google App Engine	100		179	
ae:ip_only:highwinds	AE	Ip Only	Highwinds	100		304	
ae:ip_only:internap	AE	Ip Only	Internap	100		38	
ae:ip_only:internode	AE	Ip Only	Internode	100		635	
ae:ip_only:joyent	AE	Ip Only	Joyent	100		191	
ae:ip_only:level3	AE	Ip Only	Level3	100		44	
ae:ip_only:limelight	AE	Ip Only	Limelight	0			
ae:ip_only:msn	AE	Ip Only	MSN	100	480		
ae:ip_only:maxcdn	AE	Ip Only	MaxCDN	100		79	
