===========================================================================
FHWA Route Log and Finder List: Table 1
Table 1: Main Routes of the Dwight D. Eisenhower National System Of Interstate and Defense Highways as of October 31, 2002

InterstateRoute	State	Total Miles	Net Miles	Howard-CramerMiles	Sections103(c)(4)(A)& ISTEAMiles	OverlapMiles& Route	MajorCities Served(Pop. larger than 5,000)
Pennsylvania	6.99	6.99	-	6.99	-		
TOTAL	246.41	246.41	-	183.56	-		
I-87	New York	333.49	333.49	-	29.8		New York City, Newburgh, Kingston, Albany, Saratoga Springs, Glenn Falls, Plattsburg
I-88	Illinois	140.6	140.6	-	140.6	-	Sterling, Rock Falls, Rochelle, DeKalb, Aurora, Naperville, Downers Grove, Elmhurst, Villa Park, Lombard, Chicago
New York	117.75	117.75	-	-	-	Binghampton, Oneonta, Schenectady	
TOTAL	258.35	258.35	-	140.6	-		
I-89	N. Hampshire	60.87	60.87	-	-	-	Concord, Lebanon
Vermont	130.25	130.25	-	-	-	Montpelier, Waterbury, Burlington, Saint Albans, Swanton	
TOTAL	191.12	191.12					
I-90	Washington	296.92	296.92	-	-	-	Seattle, Bellevue, Ellensburg, Moses Lake, Spokane
Idaho	73.55	73.55	-	-	-	Couer D'Alene, Kellogg, Wallace	
Montana	551.68	544.03	-	-	7.65 Mi on I-15	Missoula, Deer Lodge, Butte, Bozeman, Livingston, Laurel, Billings, Hardin	
Wyoming	208.8	208.8	-	-	-	Sheridan, Buffalo, Gillette	
South Dakota	412.76	412.76	-	-	-	Spearfish, Sturgis, Rapid City, Chamberlain, Mitchell, Sioux Falls	
Minnesota	275.7	275.7	-	-	-	Worthington, Fairmont, Albert Lea, Austin, Rochester	
Wisconsin	108.61	108.61	-	-	-	La Crosse, Onalaska, Tomah, Madison, Janesville, Beloit	
Illinois	123.89	108.5	-	16.71	15.39 Mi on I-94	Rockford, Elgin, Chicago	
Indiana	156.28	20.68	-	-	135.6 Mi on I-80	Hammond, Gary, South Bend, Elkhart	
Ohio	244.75	101.95	-	-	142.80 Mi. on I-80	Toledo, Elyria, Cleveland, Ashtabula, Conneaut	
Pennsylvania	46.4	46.4	-	-	-	Erie	
New York	385.48	385.48	-	-	-	Dunkirk, Buffalo, Batavia, Rochester, Syracuse, Oneida, Utica, Amsterdam, Schenectady, Albany	
Massachusetts	135.72	135.72	-	2.90	-	Springfield, Holyoke, Worcester, Framingham, Boston	
TOTAL	3,020.54	2,719.10	-	19.61	301.44		
I-91	Connecticut	58.00	58.00	-	-	-	New Haven, Meriden, Hartford
Massachusetts	54.99	54.99	-	-	-	Springfield, Holyoke, Northampton, Greenfield	
Vermont	177.38	177.38	-	-	-	Brattleboro, Saint Johnsbury, Newport	
TOTAL	290.37	290.37					
I-93	Massachusetts	47.07	47.07	-	14.10	-	Boston, Lawrence
New Hampshire	131.78	131.78	-	-	-	Manchester, Concord, Franklin, Plymouth, Littleton	
Vermont	11.10	11.10	-	-	-	Saint Johnsbury	
TOTAL	189.95	189.95	-	14.1	-		
I-94	Montana	249.15	249.15	-	-	-	Billings, Miles City, Glendive
North Dakota	352.39	352.39	-	-	-	Dickinson, Mandan, Bismarck, Jamestown, Valley City, Fargo	
Minnesota	259.49	259.22	-	-	0.27 Mi on I-35E	Moorhead, Fergus Falls, Alexandria, Saint Cloud, Minneapolis, Saint Paul	
Wisconsin	341.02	249.26	-	-	91.76 Mi on I-90	Eau Claire, Tomah, Madison, Waukesha, Milwaukee, Racine, Kenosha	
Illinois	61.53	59.05	-	-	2.48 Mi on I-80	Waukegan, Highland Park, Skokie, Chicago, Calumet City	
Indiana	46.13	30.08	-	-	16.05 Mi on I-80	Hammond, Gary, Portage, Michigan City	
Michigan	275.49	275.49	-	-	-	Benton Harbor, Kalamazoo, Battle Creek, Marshall, Jackson, Ann Arbor, Ypsilanti, Dearborn, Detroit, Port Huron	
TOTAL	1,585.20	1,474.64	-	-	110.56		
I-95	Florida	382.15	382.15	-	-	-	Miami, Hollywood, Fort Lauderdale, Boca Raton, West Palm Beach, Fort Pierce, Melbourne, Titusville, Daytona Beach, Jacksonville
Georgia	112.00	112.00	-	-	-	Brunswick, Savannah	
S. Carolina	198.76	198.76	-	-	-	Walterboro, Florence, Dillon	
