id	freq	dec_entity	alpha_entity	scr_code	pl_name
656	0000000001	&#656;	&#656;	(Phonetic)	_ipa
658	0000000011	&#658;	&#658;	(Phonetic)	_ipa
659	0000000001	&#659;	&#659;	(Phonetic)	_ipa
660	0000000014	&#660;	&#660;	(Phonetic)	_ipa
661	0000000012	&#661;	&#661;	(Phonetic)	_ipa
664	0000000015	&#664;	&#664;	(Phonetic)	_ipa
665	0000000003	&#665;	&#665;	(Phonetic)	_ipa
666	0000000003	&#666;	&#666;	(Phonetic)	_ipa
668	0000000004	&#668;	&#668;	(Phonetic)	_ipa
670	0000000770	&#670;	&#670;	(Phonetic)	_ipa
671	0000000006	&#671;	&#671;	(Phonetic)	_ipa
673	0000000003	&#673;	&#673;	(Phonetic)	_ipa
675	0000000002	&#675;	&#675;	(Phonetic)	_ipa
676	0000000007	&#676;	&#676;	(Phonetic)	_ipa
677	0000000002	&#677;	&#677;	(Phonetic)	_ipa
678	0000000009	&#678;	&#678;	(Phonetic)	_ipa
679	0000000012	&#679;	&#679;	(Phonetic)	_ipa
680	0000000001	&#680;	&#680;	(Phonetic)	_ipa
682	0000000028	&#682;	&#682;	(Phonetic)	_ipa
683	0000000002	&#683;	&#683;	(Phonetic)	_ipa
684	0000000001	&#684;	&#684;	(Phonetic)	_ipa
686	0000000003	&#686;	&#686;	(Phonetic)	_ipa
687	0000000004	&#687;	&#687;	(Phonetic)	_ipa
688	0000000008	&#688;	&#688;	(Symbols)	_sym
689	0000000011	&#689;	&#689;	(Symbols)	_sym
691	0000000004	&#691;	&#691;	(Symbols)	_sym
693	0000000016	&#693;	&#693;	(Symbols)	_sym
695	0000000002	&#695;	&#695;	(Symbols)	_sym
696	0000000001	&#696;	&#696;	(Symbols)	_sym
697	0000000003	&#697;	&#697;	(Symbols)	_sym
699	0000000079	&#699;	&#699;	(Symbols)	_sym
700	0000000013	&#700;	&#700;	(Symbols)	_sym
701	0000000001	&#701;	&#701;	(Symbols)	_sym
702	0000000002	&#702;	&#702;	(Symbols)	_sym
703	0000000014	&#703;	&#703;	(Symbols)	_sym
704	0000000002	&#704;	&#704;	(Symbols)	_sym
705	0000000002	&#705;	&#705;	(Symbols)	_sym
710	0000009569	&#710;	&circ;	(Symbols)	_sym
711	0000000463	&#711;	&#711;	(Symbols)	_sym
712	0000000195	&#712;	&#712;	(Symbols)	_sym
713	0000000005	&#713;	&#713;	(Symbols)	_sym
714	0000000332	&#714;	&#714;	(Symbols)	_sym
715	0000000363	&#715;	&#715;	(Symbols)	_sym
716	0000000043	&#716;	&#716;	(Symbols)	_sym
717	0000000047	&#717;	&#717;	(Symbols)	_sym
720	0000000044	&#720;	&#720;	(Symbols)	_sym
728	0000000080	&#728;	&#728;	(Symbols)	_sym
729	0000001520	&#729;	&#729;	(Symbols)	_sym
730	0000000610	&#730;	&#730;	(Symbols)	_sym
731	0000000034	&#731;	&#731;	(Symbols)	_sym
732	0000003758	&#732;	&tilde;	(Symbols)	_sym
733	0000000111	&#733;	&#733;	(Symbols)	_sym
734	0000000010	&#734;	&#734;	(Symbols)	_sym
737	0000000004	&#737;	&#737;	(Symbols)	_sym
738	0000000001	&#738;	&#738;	(Symbols)	_sym
739	0000000007	&#739;	&#739;	(Symbols)	_sym
740	0000000002	&#740;	&#740;	(Symbols)	_sym
741	0000000008	&#741;	&#741;	(Symbols)	_sym
742	0000000001	&#742;	&#742;	(Symbols)	_sym
743	0000000001	&#743;	&#743;	(Symbols)	_sym
744	0000000002	&#744;	&#744;	(Symbols)	_sym
745	0000000002	&#745;	&#745;	(Symbols)	_sym
747	0000000001	&#747;	&#747;	(Symbols)	_sym
748	0000000001	&#748;	&#748;	(Symbols)	_sym
749	0000000003	&#749;	&#749;	(Symbols)	_sym
